复杂度识别准确率统计报告
============================================================

总体统计:
  总测试用例数: 198
  正确识别数: 60
  准确率: 30.30%

按复杂度类型统计:
------------------------------------------------------------
  O(log n): 60/198 (30.30%)

识别错误的案例:
------------------------------------------------------------
  results_python_logn_0002: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0003: 实际=O(log n), 预测=O(n)
  results_python_logn_0005: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0006: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0009: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0010: 实际=O(log n), 预测=O(n)
  results_python_logn_0011: 实际=O(log n), 预测=O(1)
  results_python_logn_0013: 实际=O(log n), 预测=O(n)
  results_python_logn_0014: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0015: 实际=O(log n), 预测=O(n)
  results_python_logn_0016: 实际=O(log n), 预测=O(1)
  results_python_logn_0020: 实际=O(log n), 预测=O(n)
  results_python_logn_0021: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0024: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0026: 实际=O(log n), 预测=O(n)
  results_python_logn_0027: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0028: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0029: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0030: 实际=O(log n), 预测=O(1)
  results_python_logn_0031: 实际=O(log n), 预测=O(n)
  results_python_logn_0032: 实际=O(log n), 预测=O(n)
  results_python_logn_0034: 实际=O(log n), 预测=O(2^n)
  results_python_logn_0035: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0036: 实际=O(log n), 预测=O(1)
  results_python_logn_0037: 实际=O(log n), 预测=O(n)
  results_python_logn_0038: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0039: 实际=O(log n), 预测=O(1)
  results_python_logn_0040: 实际=O(log n), 预测=O(1)
  results_python_logn_0041: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0042: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0043: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0044: 实际=O(log n), 预测=O(1)
  results_python_logn_0048: 实际=O(log n), 预测=O(n)
  results_python_logn_0049: 实际=O(log n), 预测=O(n)
  results_python_logn_0052: 实际=O(log n), 预测=O(n)
  results_python_logn_0056: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0057: 实际=O(log n), 预测=O(1)
  results_python_logn_0059: 实际=O(log n), 预测=O(n)
  results_python_logn_0064: 实际=O(log n), 预测=O(1)
  results_python_logn_0065: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0067: 实际=O(log n), 预测=O(n)
  results_python_logn_0069: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0070: 实际=O(log n), 预测=O(n)
  results_python_logn_0071: 实际=O(log n), 预测=O(n)
  results_python_logn_0075: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0076: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0078: 实际=O(log n), 预测=O(1)
  results_python_logn_0079: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0080: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0081: 实际=O(log n), 预测=O(n)
  results_python_logn_0083: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0085: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0086: 实际=O(log n), 预测=O(n)
  results_python_logn_0087: 实际=O(log n), 预测=O(1)
  results_python_logn_0088: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0089: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0090: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0091: 实际=O(log n), 预测=O(1)
  results_python_logn_0092: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0094: 实际=O(log n), 预测=O(1)
  results_python_logn_0096: 实际=O(log n), 预测=O(1)
  results_python_logn_0097: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0099: 实际=O(log n), 预测=O(1)
  results_python_logn_0100: 实际=O(log n), 预测=O(1)
  results_python_logn_0101: 实际=O(log n), 预测=O(n)
  results_python_logn_0102: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0103: 实际=O(log n), 预测=O(n)
  results_python_logn_0104: 实际=O(log n), 预测=O(1)
  results_python_logn_0105: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0107: 实际=O(log n), 预测=O(n)
  results_python_logn_0108: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0109: 实际=O(log n), 预测=O(n)
  results_python_logn_0110: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0111: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0113: 实际=O(log n), 预测=O(1)
  results_python_logn_0114: 实际=O(log n), 预测=O(n^k)
  results_python_logn_0115: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0116: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0118: 实际=O(log n), 预测=O(1)
  results_python_logn_0119: 实际=O(log n), 预测=O(1)
  results_python_logn_0120: 实际=O(log n), 预测=O(n)
  results_python_logn_0121: 实际=O(log n), 预测=O(2^n)
  results_python_logn_0122: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0123: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0124: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0125: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0126: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0127: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0128: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0129: 实际=O(log n), 预测=O(n)
  results_python_logn_0131: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0133: 实际=O(log n), 预测=O(n)
  results_python_logn_0134: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0135: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0137: 实际=O(log n), 预测=O(1)
  results_python_logn_0138: 实际=O(log n), 预测=O(1)
  results_python_logn_0139: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0140: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0141: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0143: 实际=O(log n), 预测=O(1)
  results_python_logn_0144: 实际=O(log n), 预测=O(1)
  results_python_logn_0145: 实际=O(log n), 预测=O(1)
  results_python_logn_0146: 实际=O(log n), 预测=O(1)
  results_python_logn_0148: 实际=O(log n), 预测=O(n^2)
  results_python_logn_0149: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0150: 实际=O(log n), 预测=O(1)
  results_python_logn_0151: 实际=O(log n), 预测=O(1)
  results_python_logn_0154: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0156: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0158: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0159: 实际=O(log n), 预测=O(n^3)
  results_python_logn_0160: 实际=O(log n), 预测=O(n^3)
